LAMMPS DATA FILE by G. Jung@ORNL

24 atoms
8 atom types
0.0 7.378536440243417 xlo xhi
0.0 8.52 ylo yhi
0.0 33.5 zlo zhi

Masses

1 1.01
2 4.00
3 6.94
4 9.01
5 10.81
6 12.01
7 14.01
8 16.0

Atoms

1 6 0 0.0 0.71 16.75
2 6 0 1.2297560733739028 1.42 16.75
3 6 0 1.2297560733739028 2.84 16.75
4 6 0 0.0 3.55 16.75
5 6 0 0.0 4.97 16.75
6 6 0 1.2297560733739028 5.68 16.75
7 6 0 1.2297560733739028 7.1 16.75
8 6 0 0.0 7.81 16.75
9 6 0 2.4595121467478056 0.71 16.75
10 6 0 3.6892682201217086 1.42 16.75
11 6 0 3.6892682201217086 2.84 16.75
12 6 0 2.4595121467478056 3.55 16.75
13 6 0 2.4595121467478056 4.97 16.75
14 6 0 3.6892682201217086 5.68 16.75
15 6 0 3.6892682201217086 7.1 16.75
16 6 0 2.4595121467478056 7.81 16.75
17 6 0 4.919024293495611 0.71 16.75
18 6 0 6.148780366869514 1.42 16.75
19 6 0 6.148780366869514 2.84 16.75
20 6 0 4.919024293495611 3.55 16.75
21 6 0 4.919024293495611 4.97 16.75
22 6 0 6.148780366869514 5.68 16.75
23 6 0 6.148780366869514 7.1 16.75
24 6 0 4.919024293495611 7.81 16.75
